city,lon,lat,temperature,humidity,cloudiness,wind speed
castro,-73.76,-42.48,38.0,100.0,0.0,3.4
torbay,-52.73,47.66,64.4,100.0,90.0,12.75
manbij,37.96,36.53,71.6,56.0,0.0,3.36
mahebourg,57.7,-20.41,71.6,60.0,75.0,19.46
luganville,167.18,-15.51,74.0,100.0,100.0,11.34
baykit,96.39,61.68,54.2,97.0,88.0,5.41
mezen,44.24,65.85,70.67,50.0,0.0,6.42
dullewala,71.44,31.84,75.17,98.0,92.0,10.0
kotelnich,48.34,58.31,58.61,85.0,92.0,2.62
providencia,-77.6,1.24,55.91,70.0,0.0,2.17
longyan,117.03,25.1,75.8,91.0,64.0,2.51
dire dawa,41.86,9.59,66.35,56.0,12.0,9.22
hobart,147.33,-42.88,55.4,47.0,75.0,16.11
sirvintos,24.95,55.05,68.0,93.0,75.0,4.7
atuona,-139.03,-9.8,79.85,100.0,20.0,22.08
margherita,95.67,27.29,78.8,100.0,90.0,2.24
araouane,-3.53,18.9,92.0,24.0,36.0,4.18
kwekwe,29.81,-18.93,51.32,98.0,56.0,7.65
porto walter,-72.74,-8.27,80.84,69.0,0.0,2.06
hovd,10.7,63.83,60.8,87.0,90.0,3.36
beloha,45.06,-25.17,60.86,74.0,0.0,9.89
rawson,-65.11,-43.3,34.85,82.0,0.0,3.74
vardo,-77.74,39.62,80.6,88.0,75.0,3.36
trairi,-39.27,-3.28,80.57,96.0,0.0,22.64
kalininsk,44.48,51.5,66.62,92.0,48.0,13.24
ancud,-73.83,-41.87,36.83,87.0,0.0,4.63
penco,-72.99,-36.74,48.2,81.0,0.0,6.93
hotaka,137.88,36.34,78.8,65.0,20.0,6.93
east london,27.91,-33.02,71.57,89.0,32.0,12.46
barrow,-60.23,-38.31,29.9,77.0,0.0,2.84
portree,-6.19,57.41,55.82,98.0,92.0,9.55
mount gambier,140.78,-37.83,52.94,98.0,92.0,14.14
sao filipe,-24.5,14.9,76.97,96.0,68.0,6.64
nurota,65.69,40.56,75.2,23.0,0.0,13.87
fortuna,-1.13,38.18,71.6,78.0,0.0,4.7
ambovombe,46.09,-25.18,66.17,91.0,24.0,17.38
sabinas hidalgo,-100.18,26.51,99.47,24.0,0.0,9.66
